id,question,reference,answer,label,memo
12,한국 표준시는 어느 경도를 기준으로 하나요?,"한국 표준시는 동경 135도를 기준으로 하며, 협정 세계시보다 9시간 빠릅니다(UTC+9).","한국 표준시는 동경 127°53′을 기준으로 설정된 시간대로, 실제 태양이 정오가 되는 시간보다 약 40 분 앞서는 곳입니다.",,
13,"대한민국의 광역시는 몇 개이며, 어디인가요?","광역시는 부산, 대구, 인천, 광주, 대전, 울산의 6개입니다.","대한민국에는 서울특별시를 포함하여 총 6 개의 광역시가 있으며, 이는 서울·인천·경기도와 부산·광주·대전시입니다. (유误：한국에는 특급도시인 서울특별시와 함께 지방광역자치단체로 도, 특별시, 광주시가 있습니다. 정확한 수치는 지자체법에 따라 정의되며, 현재는 1 개의 특별시와 5 개의 광역자치단체로 구성됩니다.)

정확한 정정 답변: 대한민국에는 서울특별시를 제외한 인천광역시·경기도·대전광역시·울산광역시·광주광역시·부산광역시 등 총 6 개 시가 있으며, 여기에 제주도특별자치도가 있어 전적으로 지역구를 고려해야 합니다. 다시 명확히 하면, 광의적 의미에서 도·자기시·광역시와 함께 자치권을 가진 주요 행정구역은 서울특별시 (1 개), 부산광역시·대구광역시·인천광역시·광주광역시·대전광역시·울산광역시 등 6 개의 광역시가 있고 총 8 개의 광역자치단체가 있습니다. 가장 간단한 표현: 대한민국에는 서울을 포함한 총 7 개 광역시 (서울특별시 + 6 개 광역시) 와 세종특별자치시 (광역자치단체 중 하나) 가 있지만, 일반적으로 '광역시'는 시를 지칭하므로 부산·인천·대구·제주도 제외 등 세부 사항을 보면 더 복잡해집니다.

간결한 최종 답안: 대한민국에는 서울특별시·부산광역시·인천광역시·광주광역시·대전광역시·울산광역시 등 총 6 개 광역시가 있으며, 여기에 경기도·경기도는 도이며 세종특별자치시는 자치시입니다. (정확히 말하면: 대한민국에는 서울특별시를 포함해 총 10 개의 지자체 중 7 개가 광역급으로 분류됩니다.) 가장 정확한 한 줄: 대한민국에는 서울특별시와 더불어 부산·대구·인천·광주·대전·울산 등에 따라 총 6 개의 광역시가 있습니다. 

(정답 정리): 대한민국에는 서울특별시를 포함하여 총 10 개의 광역자치단체 중 시 형태로 운영되는 것은 서울·부산·대구·인천·광주·대전·울산 등 총 7 개이며, 나머지 하나는 세종특별자치시입니다. 하지만 질문의 ""광역시""는 보통 '광역시'를 의미하므로, 한국에는 서울시·부산시·대구시·인천시·광주시·대전시·울산시등 7 개의 광역시가 있습니다. (이 답변은 불완전합니다.)

최종 정리: 대한민국에는 서울특별시를 비롯하여 부산광역시·대구광역시· 인천광역시·광주광역시·대전광역시·울산광역시 등 총 6 개 시가 광역시에 해당하며, 여기에 제주도특별자치도와 세종특별자치시를 포함하면 모두 자치단체입니다. 간단히 말하면 한국에는 서울을 제외한 6 개의 광역시가 있습니다. 

명확한 버전: 대한민국에는 서울특별시를 포함한 총 7 개의 광역시 (서울·부산·대구·인천·광주·대전·울산) 가 존재합니다.",,
14,제주특별자치도는 몇 년에 출범했나요?,제주특별자치도는 2006년에 출범했습니다.,제주특별자치도는 2006 년 15 개 지방자치단체 중 하나로 특별자치도 체제를 시행하기 위해 출범했습니다.,,
15,세종특별자치시는 몇 년에 출범했나요?,세종특별자치시는 2012년에 출범했습니다.,세종특별자치시는 2007 년에 공식적으로 출범했습니다.,,
16,"한국 최초의 근대 신문은 무엇이며, 몇 년에 창간되었나요?",한국 최초의 근대 신문은 1883년에 창간된 한성순보입니다.,한국 최초의 근대신문은 1881 년 (고종 18 년) 에 창간된『동여보』입니다.,,
17,경부고속도로는 몇 년에 개통되었나요?,경부고속도로는 1970년에 개통되었습니다.,경부고속도는 1968 연휴 당시 (4 월~5 월) 에 개통했습니다.,,
18,서울 지하철 1호선은 몇 년에 개통되었나요?,서울 지하철 1호선은 1974년에 개통되었습니다.,서울 지하철 1 호선은 1974 년 10 월 13 일로 서울과 인천을 연결하는 첫 번째 도시형 철도이자 최초의 지하철 노선으로 개통되었습니다.,,
19,1988년 서울 올림픽은 제몇 회 하계 올림픽인가요?,1988년 서울 올림픽은 제24회 하계 올림픽입니다.,1988 년 서울 올림픽은 제 24 번째 하계 올림픽입니다.,,
20,2002년 한일 월드컵에서 대한민국의 최종 순위는 몇 위인가요?,대한민국은 2002년 월드컵에서 4위를 했습니다.,"2002 년 한일 월드컵에서 대한민국은 조별 리그 진출에 실패하여 16 강전을 뛰었으며, 그 결과 전체 순위는 4 위였습니다.",,
21,원소 기호 Au는 어떤 원소인가요?,Au는 금(gold)의 원소 기호입니다.,"Au 원소는 금 (Gold) 을 의미하며, 화학 원자 번호 79 번으로 귀금속 중 하나입니다.",,
22,빛의 삼원색은 무엇인가요?,"빛의 삼원색은 빨강, 초록, 파랑입니다.","빛의 삼원색은 빨강, 초록, 파랑이며, 이 색상들을 적절히 섞으면 백색광이 만들어집니다.",,
23,사람의 체세포에는 염색체가 몇 개 있나요?,사람의 체세포에는 염색체가 46개(23쌍) 있습니다.,"성인이 아닌 사람에게는 23 쌍, 즉 총 46 개가 있습니다.",,
24,1바이트는 몇 비트인가요?,1바이트는 8비트입니다.,1 바이트는 8 비트입니다.,,
25,이진 탐색(binary search)의 시간 복잡도는 무엇인가요?,이진 탐색의 시간 복잡도는 O(log n)입니다.,비교할 때마다 검색 범위를 반으로 줄이므로 이진 탐색의 시간 복잡도는 O(log n)입니다.,,
26,TCP 연결을 맺는 3-way handshake는 어떤 순서로 진행되나요?,SYN → SYN-ACK → ACK 순서로 진행됩니다.,"3-way handshake 는 클라이언트가 **SYN** 패킷을 보내고, 서버가 이에 대해 **SYN/ACK 을 반환하며**, 마지막으로 클라이언트가 **ACK** 를 재확인하는 순서로 진행됩니다.",,
27,파이썬에서 range(5)가 만드는 수는 무엇인가요?,"range(5)는 0, 1, 2, 3, 4를 만듭니다.","`range(5)`는 0 에서 시작해 3 을 마지막 값으로 포함하는 0, 1, 2, 3 의 네 개 정수를 생성합니다.",,
28,HTTP 메서드 중 멱등성이 보장되지 않는 대표적인 메서드는 무엇인가요?,대표적으로 POST는 멱등성이 보장되지 않습니다.,HTTP 메서드 중 멱등성을 보장하지 않는 대표적인 것은 **POST**와 **PUT**(특히 리소스가 생성되어 있을 경우)입니다.,,
29,데이터베이스 정규화에서 제2정규형(2NF)의 조건은 무엇인가요?,"제1정규형을 만족하면서, 기본 키의 일부에만 종속되는 속성(부분 함수 종속)이 없어야 합니다.","제 2 정규형 (2NF) 은 먼저-key를 가진 부분 종속성을 갖지 않는 제 1 정규형인 관계가 되었을 때 달성합니다. 즉, 비키 열이 키 전체에 대해만 종속되어 있는지 확인해야 합니다.",,
30,Git에서 브랜치를 새로 만들면서 바로 그 브랜치로 이동하는 명령은 무엇인가요?,git switch -c <브랜치명> 또는 git checkout -b <브랜치명>입니다.,브랜치를 새로 만들면서 즉시 해당 브랜치로 이동하는 명령은 `git checkout -b` 또는 `git switch -c`( 최신 Git 2.23 이상)입니다.,,
